"Id","IsDeleted","Name","OwnerId","nFORCE__Description__c","nFORCE__lookupKey__c"
"a32bn000000i7qbAAA","","DocMan","005bn000003k2JdAAI","","132h4hk5123498yhfoin"
"a32bn000000i7qhAAA","","Loan Policy Exception","005bn000003k2JdAAI","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
"a32bn000000i7qgAAA","","Loan Decisioning","005bn000003k2JdAAI","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42455223340738733"
"a32bn000000i7qdAAA","","Filter Pricing Options by DTI","005bn000003k2JdAAI","Filters the pricing options based on the current max DTI","42523683381155171"
"a32bn000000i7qcAAA","","Retrieve Pricing Options","005bn000003k2JdAAI","Create the pricing option(s) based on information in the Loan.","42746958261630058"
"a32bn000000i7qjAAA","","Construction Loan Administration","005bn000003k2JdAAI","The Contruction Loan Administration context is used to group flows related to CLA activities","4277770875596515"
"a32bn000000i7qiAAA","","Contruction Loan Administration","005bn000003k2JdAAI","The Contruction Loan Administration context is used to group flows related to CLA activities","42826512048831054"
"a32bn000000i7qeAAA","","Credit Request","005bn000003k2JdAAI","The Context for Credit Request Rules","42849460327380551"
"a32bn000000i7qkAAA","","Pricing Options","005bn000003k2JdAAI","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42887688779647590"
"a32bn000000i7qfAAA","","Proposed Pricing Option","005bn000003k2JdAAI","Create the proposed pricing option based on information in the loan.","42938486352320978"
