"Id","OwnerId","IsDeleted","Name","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__lookupKey__c","nFORCE__Api_Key__c","nFORCE__Default_Text_Answer__c","nFORCE__Classification_Tag__c","nFORCE__Help_Text__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Target_Answer_Field__c"
"a30bn000005GdkKAAS","005bn000003k2JdAAI","","Q-000294","Picklist","a2Bbn000000LQnVEAW","false","false","Are you or a close relative a senior political figure?","0.0","42031655876829454","","","","","","",""
"a30bn000005Gdk9AAC","005bn000003k2JdAAI","","Q-000283","Picklist","a2Bbn000000LQnWEAW","false","false","Do you expect that you will be receiving or sending wires to foreign countries?","2.0","42080456837102176","","","","","","",""
"a30bn000005GdkNAAS","005bn000003k2JdAAI","","Q-000297","Checkbox","a2Bbn000000LQnZEAW","false","false","Does the secured cash or CD amount exceed $25,000?","3.0","42104038953305570","","","","","","",""
"a30bn000005GdkIAAS","005bn000003k2JdAAI","","Q-000292","Picklist","a2Bbn000000LQnXEAW","false","true","Is your business associated to the marijuana industry?","4.0","42116193353875359","","","","","","",""
"a30bn000005GdkBAAS","005bn000003k2JdAAI","","Q-000285","Number","a2Bbn000000LQnVEAW","true","false","What is your annual gross income?","1.0","42121463361747719","","","","","","",""
"a30bn000005GdkHAAS","005bn000003k2JdAAI","","Q-000291","Number","a2Bbn000000LQnXEAW","false","true","How many ATMs do you own/operate?","3.0","42142997674747100","","","","","","",""
"a30bn000004af6iAAA","005bn000003k2JdAAI","","Q-000272","Picklist","a2Bbn000000J52aEAC","false","false","Is the property primarily used for a residential purpose?","4.0","42144060125072357","","","","","","",""
"a30bn000004af6eAAA","005bn000003k2JdAAI","","Q-000268","Picklist","a2Bbn000000J52aEAC","false","false","Is the loan or line of credit secured by a lien on a dwelling?","0.0","42192508055965268","","","","","","",""
"a30bn000005GdkGAAS","005bn000003k2JdAAI","","Q-000290","Picklist","a2Bbn000000LQnXEAW","false","true","How is the ATM filled with currency?","2.0","42236407855285710","","","","","","",""
"a30bn000004w385AAA","005bn000003k2JdAAI","","Q-000276","Picklist","a2Bbn000000KME5EAO","false","false","How much will your business deposit in cash on a daily basis?","0.0","42250431224927151","","","","","","",""
"a30bn000005GdkPAAS","005bn000003k2JdAAI","","Q-000299","Checkbox","a2Bbn000000LQnZEAW","false","false","Is the loan or lease secured by cash or CD (certificate of deposit)?","2.0","42262513803494598","","","","","","",""
"a30bn000005GdkLAAS","005bn000003k2JdAAI","","Q-000295","Text","a2Bbn000000LQnYEAW","false","false","To configure the Questionnaire route, you must replace this route with either an existing or a new Questionnaire route. If your financial institiution does not want to include the Questionnaire route during the loan application process, delete this route.","0.0","42269224282458988","","","","","","",""
"a30bn000004af6kAAA","005bn000003k2JdAAI","","Q-000274","Picklist","a2Bbn000000J52aEAC","false","false","Is the primary purpose of the funds Business or Commercial?","6.0","42290332436978140","","","","","","",""
"a30bn000005GdkCAAS","005bn000003k2JdAAI","","Q-000286","Text","a2Bbn000000LQnVEAW","true","false","What is your current occupation?","0.0","42359603463314660","","","","","","",""
"a30bn000005GdkAAAS","005bn000003k2JdAAI","","Q-000284","Text","a2Bbn000000LQnWEAW","false","false","List Countries:","3.0","42422655914819392","","","","","","",""
"a30bn000004w387AAA","005bn000003k2JdAAI","","Q-000278","Picklist","a2Bbn000000KME5EAO","false","false","Are you registered as a Money Service Business with the state in which you operate?""","2.0","42449084602332744","","","","","","",""
"a30bn000005GdkEAAS","005bn000003k2JdAAI","","Q-000288","Picklist","a2Bbn000000LQnXEAW","false","true","Do you own or operate an ATM at your business?","0.0","42462411731520955","","","","","","",""
"a30bn000004af6lAAA","005bn000003k2JdAAI","","Q-000275","Picklist","a2Bbn000000J52aEAC","false","false","Are funds being used to purchase, refinance, or improve a dwelling?","7.0","42475011180799209","","","","","","",""
"a30bn000005Gdk6AAC","005bn000003k2JdAAI","","Q-000280","Text","a2Bbn000000LQnVEAW","false","false","What is the position held?","1.0","42501605687058924","","","","","","",""
"a30bn000004af6jAAA","005bn000003k2JdAAI","","Q-000273","Picklist","a2Bbn000000J52aEAC","false","false","Is the primary purpose of the funds Consumer?","5.0","42513372471234032","","","","","","",""
"a30bn000005Gdk8AAC","005bn000003k2JdAAI","","Q-000282","Picklist","a2Bbn000000LQnWEAW","false","false","Type of wire transfer","1.0","42519281191284095","","","","","","",""
"a30bn000005GdkOAAS","005bn000003k2JdAAI","","Q-000298","Picklist","a2Bbn000000LQnZEAW","false","false","What is the purpose of the loan or lease?","1.0","42575751011495325","","","","","","",""
"a30bn000005GdkMAAS","005bn000003k2JdAAI","","Q-000296","Picklist","a2Bbn000000LQnZEAW","false","false","Is the loan or lease requested for a purchase or refinance?","0.0","42586369831183736","","","","","","",""
"a30bn000005GdkJAAS","005bn000003k2JdAAI","","Q-000293","Picklist","a2Bbn000000LQnXEAW","false","true","Does the business engage in online/internet gambling?","5.0","42628225838683887","","","","","","",""
"a30bn000004af6fAAA","005bn000003k2JdAAI","","Q-000269","Picklist","a2Bbn000000J52aEAC","false","false","Is the loan temporary financing? (i.e., designed to be replaced by a permanent financing)","1.0","42676044820803719","","","","","","",""
"a30bn000005Gdk5AAC","005bn000003k2JdAAI","","Q-000279","Picklist","a2Bbn000000LQnVEAW","true","false","Are you a Senior Political Figure?","0.0","42771969938266477","","","","","","",""
"a30bn000005GdkDAAS","005bn000003k2JdAAI","","Q-000287","Picklist","a2Bbn000000LQnVEAW","true","false","Have you been at your current residence for 2 or more years?","1.0","4278130149316819","","","","","","",""
"a30bn000005GdkFAAS","005bn000003k2JdAAI","","Q-000289","Picklist","a2Bbn000000LQnXEAW","false","true","Is the ATM registered with the corresponding state banking commission?","1.0","42815709322153117","","","","","","",""
"a30bn000004w386AAA","005bn000003k2JdAAI","","Q-000277","Picklist","a2Bbn000000KME5EAO","false","false","Do any of the following apply to your business?","1.0","42887850024915696","","","","","","",""
"a30bn000004af6gAAA","005bn000003k2JdAAI","","Q-000270","Picklist","a2Bbn000000J52aEAC","false","false","Is the loan primarily for agricultural purposes?","2.0","42913313880277573","","","","","","",""
"a30bn000005Gdk7AAC","005bn000003k2JdAAI","","Q-000281","Picklist","a2Bbn000000LQnWEAW","false","false","Do you expect to use Wire Transfer Services?","0.0","42931928143619244","","","","","","",""
"a30bn000004af6hAAA","005bn000003k2JdAAI","","Q-000271","Picklist","a2Bbn000000J52aEAC","false","false","Is the dwelling located on a mixed-use property?","3.0","42971529947554304","","","","","","",""
"a30bn000004af5eAAA","005bn000003k2JdAAI","","Q-000205","Picklist","a2Bbn000000J52aEAC","true","false","Is the loan (not secured by residential dwelling) for the purpose of imporving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","2.0","a30bn000004af6mAAA","","","","","","",""
"a30bn000004af5bAAA","005bn000003k2JdAAI","","Q-000202","Picklist","a2Bbn000000J52aEAC","true","false","Is this loan secured by a residential dwelling including: 1-2 Family home (condominium) Manufactured housing (with or without land) Multi-family dwelling (five or more units)?","0.0","a30bn000004af6nAAA","","","","","","",""
